requested_ratio,method,scope,edit_distance,reference_chars,cer,pattern_count
1.0,bin_ceil,english,3,375,0.008,17
1.0,bin_ceil,traditional_chinese,18,80,0.225,12
1.0,bin_ceil,combined,21,455,0.046153846153846156,29
1.0,bin_floor,english,3,375,0.008,17
1.0,bin_floor,traditional_chinese,18,80,0.225,12
1.0,bin_floor,combined,21,455,0.046153846153846156,29
1.0,lanczos2_7tap_16phase,english,3,375,0.008,17
1.0,lanczos2_7tap_16phase,traditional_chinese,18,80,0.225,12
1.0,lanczos2_7tap_16phase,combined,21,455,0.046153846153846156,29
1.0,lanczos3_7tap_16phase,english,3,375,0.008,17
1.0,lanczos3_7tap_16phase,traditional_chinese,18,80,0.225,12
1.0,lanczos3_7tap_16phase,combined,21,455,0.046153846153846156,29
1.0,opencv_bilinear,english,3,375,0.008,17
1.0,opencv_bilinear,traditional_chinese,18,80,0.225,12
1.0,opencv_bilinear,combined,21,455,0.046153846153846156,29
1.133333333333,bin_ceil,english,31,375,0.08266666666666667,17
1.133333333333,bin_ceil,traditional_chinese,45,80,0.5625,12
1.133333333333,bin_ceil,combined,76,455,0.16703296703296702,29
1.133333333333,bin_floor,english,3,375,0.008,17
1.133333333333,bin_floor,traditional_chinese,22,80,0.275,12
1.133333333333,bin_floor,combined,25,455,0.054945054945054944,29
1.133333333333,lanczos2_7tap_16phase,english,4,375,0.010666666666666666,17
1.133333333333,lanczos2_7tap_16phase,traditional_chinese,6,80,0.075,12
1.133333333333,lanczos2_7tap_16phase,combined,10,455,0.02197802197802198,29
1.133333333333,lanczos3_7tap_16phase,english,4,375,0.010666666666666666,17
1.133333333333,lanczos3_7tap_16phase,traditional_chinese,6,80,0.075,12
1.133333333333,lanczos3_7tap_16phase,combined,10,455,0.02197802197802198,29
1.133333333333,opencv_bilinear,english,7,375,0.018666666666666668,17
1.133333333333,opencv_bilinear,traditional_chinese,5,80,0.0625,12
1.133333333333,opencv_bilinear,combined,12,455,0.026373626373626374,29
1.266666666667,bin_ceil,english,21,375,0.056,17
1.266666666667,bin_ceil,traditional_chinese,34,80,0.425,12
1.266666666667,bin_ceil,combined,55,455,0.12087912087912088,29
1.266666666667,bin_floor,english,4,375,0.010666666666666666,17
1.266666666667,bin_floor,traditional_chinese,10,80,0.125,12
1.266666666667,bin_floor,combined,14,455,0.03076923076923077,29
1.266666666667,lanczos2_7tap_16phase,english,5,375,0.013333333333333334,17
1.266666666667,lanczos2_7tap_16phase,traditional_chinese,16,80,0.2,12
1.266666666667,lanczos2_7tap_16phase,combined,21,455,0.046153846153846156,29
1.266666666667,lanczos3_7tap_16phase,english,3,375,0.008,17
1.266666666667,lanczos3_7tap_16phase,traditional_chinese,8,80,0.1,12
1.266666666667,lanczos3_7tap_16phase,combined,11,455,0.024175824175824177,29
1.266666666667,opencv_bilinear,english,3,375,0.008,17
1.266666666667,opencv_bilinear,traditional_chinese,6,80,0.075,12
1.266666666667,opencv_bilinear,combined,9,455,0.01978021978021978,29
1.4,bin_ceil,english,17,375,0.04533333333333334,17
1.4,bin_ceil,traditional_chinese,21,80,0.2625,12
1.4,bin_ceil,combined,38,455,0.08351648351648351,29
1.4,bin_floor,english,3,375,0.008,17
1.4,bin_floor,traditional_chinese,9,80,0.1125,12
1.4,bin_floor,combined,12,455,0.026373626373626374,29
1.4,lanczos2_7tap_16phase,english,9,375,0.024,17
1.4,lanczos2_7tap_16phase,traditional_chinese,14,80,0.175,12
1.4,lanczos2_7tap_16phase,combined,23,455,0.05054945054945055,29
1.4,lanczos3_7tap_16phase,english,9,375,0.024,17
1.4,lanczos3_7tap_16phase,traditional_chinese,12,80,0.15,12
1.4,lanczos3_7tap_16phase,combined,21,455,0.046153846153846156,29
1.4,opencv_bilinear,english,4,375,0.010666666666666666,17
1.4,opencv_bilinear,traditional_chinese,21,80,0.2625,12
1.4,opencv_bilinear,combined,25,455,0.054945054945054944,29
1.533333333333,bin_ceil,english,14,375,0.037333333333333336,17
1.533333333333,bin_ceil,traditional_chinese,11,80,0.1375,12
1.533333333333,bin_ceil,combined,25,455,0.054945054945054944,29
1.533333333333,bin_floor,english,4,375,0.010666666666666666,17
1.533333333333,bin_floor,traditional_chinese,23,80,0.2875,12
1.533333333333,bin_floor,combined,27,455,0.05934065934065934,29
1.533333333333,lanczos2_7tap_16phase,english,2,375,0.005333333333333333,17
1.533333333333,lanczos2_7tap_16phase,traditional_chinese,12,80,0.15,12
1.533333333333,lanczos2_7tap_16phase,combined,14,455,0.03076923076923077,29
1.533333333333,lanczos3_7tap_16phase,english,2,375,0.005333333333333333,17
1.533333333333,lanczos3_7tap_16phase,traditional_chinese,14,80,0.175,12
1.533333333333,lanczos3_7tap_16phase,combined,16,455,0.035164835164835165,29
1.533333333333,opencv_bilinear,english,4,375,0.010666666666666666,17
1.533333333333,opencv_bilinear,traditional_chinese,17,80,0.2125,12
1.533333333333,opencv_bilinear,combined,21,455,0.046153846153846156,29
1.666666666667,bin_ceil,english,6,375,0.016,17
1.666666666667,bin_ceil,traditional_chinese,10,80,0.125,12
1.666666666667,bin_ceil,combined,16,455,0.035164835164835165,29
1.666666666667,bin_floor,english,2,375,0.005333333333333333,17
1.666666666667,bin_floor,traditional_chinese,20,80,0.25,12
1.666666666667,bin_floor,combined,22,455,0.04835164835164835,29
1.666666666667,lanczos2_7tap_16phase,english,5,375,0.013333333333333334,17
1.666666666667,lanczos2_7tap_16phase,traditional_chinese,14,80,0.175,12
1.666666666667,lanczos2_7tap_16phase,combined,19,455,0.041758241758241756,29
1.666666666667,lanczos3_7tap_16phase,english,4,375,0.010666666666666666,17
1.666666666667,lanczos3_7tap_16phase,traditional_chinese,14,80,0.175,12
1.666666666667,lanczos3_7tap_16phase,combined,18,455,0.03956043956043956,29
1.666666666667,opencv_bilinear,english,4,375,0.010666666666666666,17
1.666666666667,opencv_bilinear,traditional_chinese,23,80,0.2875,12
1.666666666667,opencv_bilinear,combined,27,455,0.05934065934065934,29
1.8,bin_ceil,english,8,375,0.021333333333333333,17
1.8,bin_ceil,traditional_chinese,6,80,0.075,12
1.8,bin_ceil,combined,14,455,0.03076923076923077,29
1.8,bin_floor,english,2,375,0.005333333333333333,17
1.8,bin_floor,traditional_chinese,22,80,0.275,12
1.8,bin_floor,combined,24,455,0.05274725274725275,29
1.8,lanczos2_7tap_16phase,english,4,375,0.010666666666666666,17
1.8,lanczos2_7tap_16phase,traditional_chinese,20,80,0.25,12
1.8,lanczos2_7tap_16phase,combined,24,455,0.05274725274725275,29
1.8,lanczos3_7tap_16phase,english,2,375,0.005333333333333333,17
1.8,lanczos3_7tap_16phase,traditional_chinese,5,80,0.0625,12
1.8,lanczos3_7tap_16phase,combined,7,455,0.015384615384615385,29
1.8,opencv_bilinear,english,4,375,0.010666666666666666,17
1.8,opencv_bilinear,traditional_chinese,21,80,0.2625,12
1.8,opencv_bilinear,combined,25,455,0.054945054945054944,29
1.933333333333,bin_ceil,english,1,375,0.0026666666666666666,17
1.933333333333,bin_ceil,traditional_chinese,13,80,0.1625,12
1.933333333333,bin_ceil,combined,14,455,0.03076923076923077,29
1.933333333333,bin_floor,english,2,375,0.005333333333333333,17
1.933333333333,bin_floor,traditional_chinese,13,80,0.1625,12
1.933333333333,bin_floor,combined,15,455,0.03296703296703297,29
1.933333333333,lanczos2_7tap_16phase,english,5,375,0.013333333333333334,17
1.933333333333,lanczos2_7tap_16phase,traditional_chinese,22,80,0.275,12
1.933333333333,lanczos2_7tap_16phase,combined,27,455,0.05934065934065934,29
1.933333333333,lanczos3_7tap_16phase,english,4,375,0.010666666666666666,17
1.933333333333,lanczos3_7tap_16phase,traditional_chinese,15,80,0.1875,12
1.933333333333,lanczos3_7tap_16phase,combined,19,455,0.041758241758241756,29
1.933333333333,opencv_bilinear,english,7,375,0.018666666666666668,17
1.933333333333,opencv_bilinear,traditional_chinese,19,80,0.2375,12
1.933333333333,opencv_bilinear,combined,26,455,0.05714285714285714,29
2.066666666667,bin_ceil,english,17,375,0.04533333333333334,17
2.066666666667,bin_ceil,traditional_chinese,19,80,0.2375,12
2.066666666667,bin_ceil,combined,36,455,0.07912087912087912,29
2.066666666667,bin_floor,english,5,375,0.013333333333333334,17
2.066666666667,bin_floor,traditional_chinese,12,80,0.15,12
2.066666666667,bin_floor,combined,17,455,0.03736263736263736,29
2.066666666667,lanczos2_7tap_16phase,english,6,375,0.016,17
2.066666666667,lanczos2_7tap_16phase,traditional_chinese,11,80,0.1375,12
2.066666666667,lanczos2_7tap_16phase,combined,17,455,0.03736263736263736,29
2.066666666667,lanczos3_7tap_16phase,english,4,375,0.010666666666666666,17
2.066666666667,lanczos3_7tap_16phase,traditional_chinese,3,80,0.0375,12
2.066666666667,lanczos3_7tap_16phase,combined,7,455,0.015384615384615385,29
2.066666666667,opencv_bilinear,english,4,375,0.010666666666666666,17
2.066666666667,opencv_bilinear,traditional_chinese,10,80,0.125,12
2.066666666667,opencv_bilinear,combined,14,455,0.03076923076923077,29
2.2,bin_ceil,english,12,375,0.032,17
2.2,bin_ceil,traditional_chinese,10,80,0.125,12
2.2,bin_ceil,combined,22,455,0.04835164835164835,29
2.2,bin_floor,english,3,375,0.008,17
2.2,bin_floor,traditional_chinese,7,80,0.0875,12
2.2,bin_floor,combined,10,455,0.02197802197802198,29
2.2,lanczos2_7tap_16phase,english,7,375,0.018666666666666668,17
2.2,lanczos2_7tap_16phase,traditional_chinese,15,80,0.1875,12
2.2,lanczos2_7tap_16phase,combined,22,455,0.04835164835164835,29
2.2,lanczos3_7tap_16phase,english,6,375,0.016,17
2.2,lanczos3_7tap_16phase,traditional_chinese,6,80,0.075,12
2.2,lanczos3_7tap_16phase,combined,12,455,0.026373626373626374,29
2.2,opencv_bilinear,english,9,375,0.024,17
2.2,opencv_bilinear,traditional_chinese,13,80,0.1625,12
2.2,opencv_bilinear,combined,22,455,0.04835164835164835,29
2.333333333333,bin_ceil,english,13,375,0.034666666666666665,17
2.333333333333,bin_ceil,traditional_chinese,5,80,0.0625,12
2.333333333333,bin_ceil,combined,18,455,0.03956043956043956,29
2.333333333333,bin_floor,english,3,375,0.008,17
2.333333333333,bin_floor,traditional_chinese,15,80,0.1875,12
2.333333333333,bin_floor,combined,18,455,0.03956043956043956,29
2.333333333333,lanczos2_7tap_16phase,english,3,375,0.008,17
2.333333333333,lanczos2_7tap_16phase,traditional_chinese,21,80,0.2625,12
2.333333333333,lanczos2_7tap_16phase,combined,24,455,0.05274725274725275,29
2.333333333333,lanczos3_7tap_16phase,english,4,375,0.010666666666666666,17
2.333333333333,lanczos3_7tap_16phase,traditional_chinese,21,80,0.2625,12
2.333333333333,lanczos3_7tap_16phase,combined,25,455,0.054945054945054944,29
2.333333333333,opencv_bilinear,english,5,375,0.013333333333333334,17
2.333333333333,opencv_bilinear,traditional_chinese,23,80,0.2875,12
2.333333333333,opencv_bilinear,combined,28,455,0.06153846153846154,29
2.466666666667,bin_ceil,english,7,375,0.018666666666666668,17
2.466666666667,bin_ceil,traditional_chinese,10,80,0.125,12
2.466666666667,bin_ceil,combined,17,455,0.03736263736263736,29
2.466666666667,bin_floor,english,4,375,0.010666666666666666,17
2.466666666667,bin_floor,traditional_chinese,20,80,0.25,12
2.466666666667,bin_floor,combined,24,455,0.05274725274725275,29
2.466666666667,lanczos2_7tap_16phase,english,6,375,0.016,17
2.466666666667,lanczos2_7tap_16phase,traditional_chinese,5,80,0.0625,12
2.466666666667,lanczos2_7tap_16phase,combined,11,455,0.024175824175824177,29
2.466666666667,lanczos3_7tap_16phase,english,4,375,0.010666666666666666,17
2.466666666667,lanczos3_7tap_16phase,traditional_chinese,13,80,0.1625,12
2.466666666667,lanczos3_7tap_16phase,combined,17,455,0.03736263736263736,29
2.466666666667,opencv_bilinear,english,6,375,0.016,17
2.466666666667,opencv_bilinear,traditional_chinese,15,80,0.1875,12
2.466666666667,opencv_bilinear,combined,21,455,0.046153846153846156,29
2.6,bin_ceil,english,3,375,0.008,17
2.6,bin_ceil,traditional_chinese,5,80,0.0625,12
2.6,bin_ceil,combined,8,455,0.017582417582417582,29
2.6,bin_floor,english,6,375,0.016,17
2.6,bin_floor,traditional_chinese,21,80,0.2625,12
2.6,bin_floor,combined,27,455,0.05934065934065934,29
2.6,lanczos2_7tap_16phase,english,6,375,0.016,17
2.6,lanczos2_7tap_16phase,traditional_chinese,21,80,0.2625,12
2.6,lanczos2_7tap_16phase,combined,27,455,0.05934065934065934,29
2.6,lanczos3_7tap_16phase,english,7,375,0.018666666666666668,17
2.6,lanczos3_7tap_16phase,traditional_chinese,13,80,0.1625,12
2.6,lanczos3_7tap_16phase,combined,20,455,0.04395604395604396,29
2.6,opencv_bilinear,english,6,375,0.016,17
2.6,opencv_bilinear,traditional_chinese,22,80,0.275,12
2.6,opencv_bilinear,combined,28,455,0.06153846153846154,29
2.625,bin_ceil,english,3,375,0.008,17
2.625,bin_ceil,traditional_chinese,5,80,0.0625,12
2.625,bin_ceil,combined,8,455,0.017582417582417582,29
2.625,bin_floor,english,6,375,0.016,17
2.625,bin_floor,traditional_chinese,21,80,0.2625,12
2.625,bin_floor,combined,27,455,0.05934065934065934,29
2.625,lanczos2_7tap_16phase,english,6,375,0.016,17
2.625,lanczos2_7tap_16phase,traditional_chinese,19,80,0.2375,12
2.625,lanczos2_7tap_16phase,combined,25,455,0.054945054945054944,29
2.625,lanczos3_7tap_16phase,english,8,375,0.021333333333333333,17
2.625,lanczos3_7tap_16phase,traditional_chinese,5,80,0.0625,12
2.625,lanczos3_7tap_16phase,combined,13,455,0.02857142857142857,29
2.625,opencv_bilinear,english,9,375,0.024,17
2.625,opencv_bilinear,traditional_chinese,13,80,0.1625,12
2.625,opencv_bilinear,combined,22,455,0.04835164835164835,29
2.733333333333,bin_ceil,english,2,375,0.005333333333333333,17
2.733333333333,bin_ceil,traditional_chinese,5,80,0.0625,12
2.733333333333,bin_ceil,combined,7,455,0.015384615384615385,29
2.733333333333,bin_floor,english,2,375,0.005333333333333333,17
2.733333333333,bin_floor,traditional_chinese,21,80,0.2625,12
2.733333333333,bin_floor,combined,23,455,0.05054945054945055,29
2.733333333333,lanczos2_7tap_16phase,english,3,375,0.008,17
2.733333333333,lanczos2_7tap_16phase,traditional_chinese,5,80,0.0625,12
2.733333333333,lanczos2_7tap_16phase,combined,8,455,0.017582417582417582,29
2.733333333333,lanczos3_7tap_16phase,english,5,375,0.013333333333333334,17
2.733333333333,lanczos3_7tap_16phase,traditional_chinese,9,80,0.1125,12
2.733333333333,lanczos3_7tap_16phase,combined,14,455,0.03076923076923077,29
2.733333333333,opencv_bilinear,english,5,375,0.013333333333333334,17
2.733333333333,opencv_bilinear,traditional_chinese,8,80,0.1,12
2.733333333333,opencv_bilinear,combined,13,455,0.02857142857142857,29
2.866666666667,bin_ceil,english,9,375,0.024,17
2.866666666667,bin_ceil,traditional_chinese,18,80,0.225,12
2.866666666667,bin_ceil,combined,27,455,0.05934065934065934,29
2.866666666667,bin_floor,english,2,375,0.005333333333333333,17
2.866666666667,bin_floor,traditional_chinese,20,80,0.25,12
2.866666666667,bin_floor,combined,22,455,0.04835164835164835,29
2.866666666667,lanczos2_7tap_16phase,english,7,375,0.018666666666666668,17
2.866666666667,lanczos2_7tap_16phase,traditional_chinese,20,80,0.25,12
2.866666666667,lanczos2_7tap_16phase,combined,27,455,0.05934065934065934,29
2.866666666667,lanczos3_7tap_16phase,english,6,375,0.016,17
2.866666666667,lanczos3_7tap_16phase,traditional_chinese,18,80,0.225,12
2.866666666667,lanczos3_7tap_16phase,combined,24,455,0.05274725274725275,29
2.866666666667,opencv_bilinear,english,6,375,0.016,17
2.866666666667,opencv_bilinear,traditional_chinese,13,80,0.1625,12
2.866666666667,opencv_bilinear,combined,19,455,0.041758241758241756,29
3.0,bin_ceil,english,5,375,0.013333333333333334,17
3.0,bin_ceil,traditional_chinese,11,80,0.1375,12
3.0,bin_ceil,combined,16,455,0.035164835164835165,29
3.0,bin_floor,english,5,375,0.013333333333333334,17
3.0,bin_floor,traditional_chinese,11,80,0.1375,12
3.0,bin_floor,combined,16,455,0.035164835164835165,29
3.0,lanczos2_7tap_16phase,english,4,375,0.010666666666666666,17
3.0,lanczos2_7tap_16phase,traditional_chinese,13,80,0.1625,12
3.0,lanczos2_7tap_16phase,combined,17,455,0.03736263736263736,29
3.0,lanczos3_7tap_16phase,english,4,375,0.010666666666666666,17
3.0,lanczos3_7tap_16phase,traditional_chinese,21,80,0.2625,12
3.0,lanczos3_7tap_16phase,combined,25,455,0.054945054945054944,29
3.0,opencv_bilinear,english,4,375,0.010666666666666666,17
3.0,opencv_bilinear,traditional_chinese,13,80,0.1625,12
3.0,opencv_bilinear,combined,17,455,0.03736263736263736,29
