scope,category,rank,method,requested_ratio,pattern_id,language,psm,cer,edit_distance,reference_chars,reference,prediction,tie_count
english,overall_method,best,bin_floor,,,,,0.009254901960784314,59,6375,,,1
english,overall_method,worst,bin_ceil,,,,,0.026980392156862744,172,6375,,,1
english,scaling_ratio,best,,1.0,,,,0.008,15,1875,,,1
english,scaling_ratio,worst,,1.133333333333,,,,0.026133333333333335,49,1875,,,1
english,method_by_ratio,best,bin_ceil,1.933333333333,,,,0.0026666666666666666,1,375,,,1
english,method_by_ratio,worst,bin_ceil,1.133333333333,,,,0.08266666666666667,31,375,,,1
english,individual_case,best,bin_ceil,1.0,en_char_8,en,10,0.0,0,1,8,8,1234
english,individual_case,worst,bin_ceil,1.133333333333,en_line_05,en,7,0.5,13,26,AbCdEfGhIjKlMnOpQrStUvWxYz,ABCAEFGNTKANnOpgrStUVHAY,1
traditional_chinese,overall_method,best,lanczos3_7tap_16phase,,,,,0.14779411764705883,201,1360,,,1
traditional_chinese,overall_method,worst,bin_floor,,,,,0.20955882352941177,285,1360,,,1
traditional_chinese,scaling_ratio,best,,2.733333333333,,,,0.12,48,400,,,1
traditional_chinese,scaling_ratio,worst,,1.0,,,,0.225,90,400,,,1
traditional_chinese,method_by_ratio,best,lanczos3_7tap_16phase,2.066666666667,,,,0.0375,3,80,,,1
traditional_chinese,method_by_ratio,worst,bin_ceil,1.133333333333,,,,0.5625,45,80,,,1
traditional_chinese,individual_case,best,bin_ceil,1.0,zh_char_01,zh_tra,10,0.0,0,1,做,做,577
traditional_chinese,individual_case,worst,lanczos3_7tap_16phase,1.266666666667,zh_char_02,zh_tra,10,2.0,2,1,剪,選】,1
combined,overall_method,best,lanczos3_7tap_16phase,,,,,0.03619909502262444,280,7735,,,1
combined,overall_method,worst,bin_ceil,,,,,0.054040077569489336,418,7735,,,1
combined,scaling_ratio,best,,2.733333333333,,,,0.02857142857142857,65,2275,,,1
combined,scaling_ratio,worst,,1.133333333333,,,,0.05846153846153846,133,2275,,,1
combined,method_by_ratio,best,lanczos3_7tap_16phase,1.8,,,,0.015384615384615385,7,455,,,3
combined,method_by_ratio,worst,bin_ceil,1.133333333333,,,,0.16703296703296702,76,455,,,1
combined,individual_case,best,bin_ceil,1.0,en_char_8,en,10,0.0,0,1,8,8,1811
combined,individual_case,worst,lanczos3_7tap_16phase,1.266666666667,zh_char_02,zh_tra,10,2.0,2,1,剪,選】,1
