requested_ratio,method,scope,edit_distance,reference_chars,cer,pattern_count
1.0,opencv_bilinear,english,0,1,0.0,1
1.0,opencv_bilinear,traditional_chinese,18,80,0.225,12
1.0,opencv_bilinear,combined,18,81,0.2222222222222222,13
1.133333333333,opencv_bilinear,english,0,1,0.0,1
1.133333333333,opencv_bilinear,traditional_chinese,5,80,0.0625,12
1.133333333333,opencv_bilinear,combined,5,81,0.06172839506172839,13
1.266666666667,opencv_bilinear,english,0,1,0.0,1
1.266666666667,opencv_bilinear,traditional_chinese,6,80,0.075,12
1.266666666667,opencv_bilinear,combined,6,81,0.07407407407407407,13
1.4,opencv_bilinear,english,0,1,0.0,1
1.4,opencv_bilinear,traditional_chinese,21,80,0.2625,12
1.4,opencv_bilinear,combined,21,81,0.25925925925925924,13
1.533333333333,opencv_bilinear,english,0,1,0.0,1
1.533333333333,opencv_bilinear,traditional_chinese,17,80,0.2125,12
1.533333333333,opencv_bilinear,combined,17,81,0.20987654320987653,13
1.666666666667,opencv_bilinear,english,0,1,0.0,1
1.666666666667,opencv_bilinear,traditional_chinese,23,80,0.2875,12
1.666666666667,opencv_bilinear,combined,23,81,0.2839506172839506,13
1.8,opencv_bilinear,english,0,1,0.0,1
1.8,opencv_bilinear,traditional_chinese,21,80,0.2625,12
1.8,opencv_bilinear,combined,21,81,0.25925925925925924,13
1.933333333333,opencv_bilinear,english,0,1,0.0,1
1.933333333333,opencv_bilinear,traditional_chinese,19,80,0.2375,12
1.933333333333,opencv_bilinear,combined,19,81,0.2345679012345679,13
2.066666666667,opencv_bilinear,english,0,1,0.0,1
2.066666666667,opencv_bilinear,traditional_chinese,10,80,0.125,12
2.066666666667,opencv_bilinear,combined,10,81,0.12345679012345678,13
2.2,opencv_bilinear,english,0,1,0.0,1
2.2,opencv_bilinear,traditional_chinese,13,80,0.1625,12
2.2,opencv_bilinear,combined,13,81,0.16049382716049382,13
2.333333333333,opencv_bilinear,english,0,1,0.0,1
2.333333333333,opencv_bilinear,traditional_chinese,23,80,0.2875,12
2.333333333333,opencv_bilinear,combined,23,81,0.2839506172839506,13
2.466666666667,opencv_bilinear,english,0,1,0.0,1
2.466666666667,opencv_bilinear,traditional_chinese,15,80,0.1875,12
2.466666666667,opencv_bilinear,combined,15,81,0.18518518518518517,13
2.6,opencv_bilinear,english,0,1,0.0,1
2.6,opencv_bilinear,traditional_chinese,22,80,0.275,12
2.6,opencv_bilinear,combined,22,81,0.2716049382716049,13
2.625,opencv_bilinear,english,0,1,0.0,1
2.625,opencv_bilinear,traditional_chinese,13,80,0.1625,12
2.625,opencv_bilinear,combined,13,81,0.16049382716049382,13
2.733333333333,opencv_bilinear,english,0,1,0.0,1
2.733333333333,opencv_bilinear,traditional_chinese,8,80,0.1,12
2.733333333333,opencv_bilinear,combined,8,81,0.09876543209876543,13
2.866666666667,opencv_bilinear,english,0,1,0.0,1
2.866666666667,opencv_bilinear,traditional_chinese,13,80,0.1625,12
2.866666666667,opencv_bilinear,combined,13,81,0.16049382716049382,13
3.0,opencv_bilinear,english,0,1,0.0,1
3.0,opencv_bilinear,traditional_chinese,13,80,0.1625,12
3.0,opencv_bilinear,combined,13,81,0.16049382716049382,13
