scope,category,rank,method,requested_ratio,pattern_id,language,psm,cer,edit_distance,reference_chars,reference,prediction,tie_count
english,overall_method,best,opencv_bilinear,,,,,0.0,0,17,,,1
english,overall_method,worst,opencv_bilinear,,,,,0.0,0,17,,,1
english,scaling_ratio,best,,1.0,,,,0.0,0,1,,,17
english,scaling_ratio,worst,,1.0,,,,0.0,0,1,,,17
english,method_by_ratio,best,opencv_bilinear,1.0,,,,0.0,0,1,,,17
english,method_by_ratio,worst,opencv_bilinear,1.0,,,,0.0,0,1,,,17
english,non_binning_method_by_ratio,best,opencv_bilinear,1.0,,,,0.0,0,1,,,17
english,non_binning_method_by_ratio,worst,opencv_bilinear,1.0,,,,0.0,0,1,,,17
english,individual_case,best,opencv_bilinear,1.0,en_char_a,en,10,0.0,0,1,A,A,17
english,individual_case,worst,opencv_bilinear,1.0,en_char_a,en,10,0.0,0,1,A,A,17
traditional_chinese,overall_method,best,opencv_bilinear,,,,,0.19117647058823528,260,1360,,,1
traditional_chinese,overall_method,worst,opencv_bilinear,,,,,0.19117647058823528,260,1360,,,1
traditional_chinese,scaling_ratio,best,,1.133333333333,,,,0.0625,5,80,,,1
traditional_chinese,scaling_ratio,worst,,1.666666666667,,,,0.2875,23,80,,,2
traditional_chinese,method_by_ratio,best,opencv_bilinear,1.133333333333,,,,0.0625,5,80,,,1
traditional_chinese,method_by_ratio,worst,opencv_bilinear,1.666666666667,,,,0.2875,23,80,,,2
traditional_chinese,non_binning_method_by_ratio,best,opencv_bilinear,1.133333333333,,,,0.0625,5,80,,,1
traditional_chinese,non_binning_method_by_ratio,worst,opencv_bilinear,1.666666666667,,,,0.2875,23,80,,,2
traditional_chinese,individual_case,best,opencv_bilinear,1.0,zh_char_01,zh_tra,10,0.0,0,1,做,做,116
traditional_chinese,individual_case,worst,opencv_bilinear,1.0,zh_char_02,zh_tra,10,1.0,1,1,剪,前,24
combined,overall_method,best,opencv_bilinear,,,,,0.1888162672476398,260,1377,,,1
combined,overall_method,worst,opencv_bilinear,,,,,0.1888162672476398,260,1377,,,1
combined,scaling_ratio,best,,1.133333333333,,,,0.06172839506172839,5,81,,,1
combined,scaling_ratio,worst,,1.666666666667,,,,0.2839506172839506,23,81,,,2
combined,method_by_ratio,best,opencv_bilinear,1.133333333333,,,,0.06172839506172839,5,81,,,1
combined,method_by_ratio,worst,opencv_bilinear,1.666666666667,,,,0.2839506172839506,23,81,,,2
combined,non_binning_method_by_ratio,best,opencv_bilinear,1.133333333333,,,,0.06172839506172839,5,81,,,1
combined,non_binning_method_by_ratio,worst,opencv_bilinear,1.666666666667,,,,0.2839506172839506,23,81,,,2
combined,individual_case,best,opencv_bilinear,1.0,en_char_a,en,10,0.0,0,1,A,A,133
combined,individual_case,worst,opencv_bilinear,1.0,zh_char_02,zh_tra,10,1.0,1,1,剪,前,24
