phase,coefficient_bits,coefficient_scale,fraction,left_coefficient,right_coefficient,coefficient_sum,left_weight,right_weight
0,11,2048,0.0000000000,2048,0,2048,1.0000000000,0.0000000000
1,11,2048,0.0004882812,2047,1,2048,0.9995117188,0.0004882812
2,11,2048,0.0009765625,2046,2,2048,0.9990234375,0.0009765625
3,11,2048,0.0014648438,2045,3,2048,0.9985351562,0.0014648438
4,11,2048,0.0019531250,2044,4,2048,0.9980468750,0.0019531250
5,11,2048,0.0024414062,2043,5,2048,0.9975585938,0.0024414062
6,11,2048,0.0029296875,2042,6,2048,0.9970703125,0.0029296875
7,11,2048,0.0034179688,2041,7,2048,0.9965820312,0.0034179688
8,11,2048,0.0039062500,2040,8,2048,0.9960937500,0.0039062500
9,11,2048,0.0043945312,2039,9,2048,0.9956054688,0.0043945312
10,11,2048,0.0048828125,2038,10,2048,0.9951171875,0.0048828125
11,11,2048,0.0053710938,2037,11,2048,0.9946289062,0.0053710938
12,11,2048,0.0058593750,2036,12,2048,0.9941406250,0.0058593750
13,11,2048,0.0063476562,2035,13,2048,0.9936523438,0.0063476562
14,11,2048,0.0068359375,2034,14,2048,0.9931640625,0.0068359375
15,11,2048,0.0073242188,2033,15,2048,0.9926757812,0.0073242188
16,11,2048,0.0078125000,2032,16,2048,0.9921875000,0.0078125000
17,11,2048,0.0083007812,2031,17,2048,0.9916992188,0.0083007812
18,11,2048,0.0087890625,2030,18,2048,0.9912109375,0.0087890625
19,11,2048,0.0092773438,2029,19,2048,0.9907226562,0.0092773438
20,11,2048,0.0097656250,2028,20,2048,0.9902343750,0.0097656250
21,11,2048,0.0102539062,2027,21,2048,0.9897460938,0.0102539062
22,11,2048,0.0107421875,2026,22,2048,0.9892578125,0.0107421875
23,11,2048,0.0112304688,2025,23,2048,0.9887695312,0.0112304688
24,11,2048,0.0117187500,2024,24,2048,0.9882812500,0.0117187500
25,11,2048,0.0122070312,2023,25,2048,0.9877929688,0.0122070312
26,11,2048,0.0126953125,2022,26,2048,0.9873046875,0.0126953125
27,11,2048,0.0131835938,2021,27,2048,0.9868164062,0.0131835938
28,11,2048,0.0136718750,2020,28,2048,0.9863281250,0.0136718750
29,11,2048,0.0141601562,2019,29,2048,0.9858398438,0.0141601562
30,11,2048,0.0146484375,2018,30,2048,0.9853515625,0.0146484375
31,11,2048,0.0151367188,2017,31,2048,0.9848632812,0.0151367188
32,11,2048,0.0156250000,2016,32,2048,0.9843750000,0.0156250000
33,11,2048,0.0161132812,2015,33,2048,0.9838867188,0.0161132812
34,11,2048,0.0166015625,2014,34,2048,0.9833984375,0.0166015625
35,11,2048,0.0170898438,2013,35,2048,0.9829101562,0.0170898438
36,11,2048,0.0175781250,2012,36,2048,0.9824218750,0.0175781250
37,11,2048,0.0180664062,2011,37,2048,0.9819335938,0.0180664062
38,11,2048,0.0185546875,2010,38,2048,0.9814453125,0.0185546875
39,11,2048,0.0190429688,2009,39,2048,0.9809570312,0.0190429688
40,11,2048,0.0195312500,2008,40,2048,0.9804687500,0.0195312500
41,11,2048,0.0200195312,2007,41,2048,0.9799804688,0.0200195312
42,11,2048,0.0205078125,2006,42,2048,0.9794921875,0.0205078125
